,user_id,用户分类
0,1,无效用户
1,13,无效用户
2,19,无效用户
3,21,无效用户
4,115,无效用户
5,118,无效用户
6,134,无效用户
7,138,无效用户
8,155,无效用户
9,159,无效用户
10,161,无效用户
11,195,无效用户
12,222,无效用户
13,229,无效用户
14,247,无效用户
15,1000,无效用户
16,1016,无效用户
17,1043,无效用户
18,1046,无效用户
19,1047,无效用户
20,1049,无效用户
21,1076,无效用户
22,1103,无效用户
23,1122,无效用户
24,1187,无效用户
25,1207,无效用户
26,1214,无效用户
27,1262,无效用户
28,1267,无效用户
29,1302,无效用户
30,1306,无效用户
31,1317,无效用户
32,1326,无效用户
33,1333,无效用户
34,1346,无效用户
35,1358,无效用户
36,1364,无效用户
37,1394,无效用户
38,1401,无效用户
39,1404,无效用户
40,1412,无效用户
41,1417,无效用户
42,1494,无效用户
43,1502,无效用户
44,1512,无效用户
45,1518,无效用户
46,1568,无效用户
47,1600,无效用户
48,1603,无效用户
49,1608,无效用户
50,1616,无效用户
51,1619,无效用户
52,1639,无效用户
53,1677,无效用户
54,1695,无效用户
55,1711,无效用户
56,1737,无效用户
57,1754,无效用户
58,1765,无效用户
59,1782,无效用户
60,1806,无效用户
61,1816,无效用户
62,1836,无效用户
63,1871,无效用户
64,1878,无效用户
65,1885,无效用户
66,1886,无效用户
67,1899,无效用户
68,1914,无效用户
69,1919,无效用户
70,1925,无效用户
71,1933,无效用户
72,1934,无效用户
73,1947,无效用户
74,1971,无效用户
75,1984,无效用户
76,2001,无效用户
77,2002,无效用户
78,2016,无效用户
79,2053,无效用户
80,2061,无效用户
81,2068,无效用户
82,2092,无效用户
83,2102,无效用户
84,2161,无效用户
85,2163,无效用户
86,2174,无效用户
87,2191,无效用户
88,2203,无效用户
89,2216,无效用户
90,2239,无效用户
91,2253,无效用户
92,2254,无效用户
93,2258,无效用户
94,2263,无效用户
95,2303,无效用户
96,2322,无效用户
97,2347,无效用户
98,2348,无效用户
99,2350,无效用户
100,2370,无效用户
101,2375,无效用户
102,2376,无效用户
103,2414,无效用户
104,2422,无效用户
105,2444,无效用户
106,2493,无效用户
107,2498,无效用户
108,2501,无效用户
109,2502,无效用户
110,2503,无效用户
111,2525,无效用户
112,2541,无效用户
113,2563,无效用户
114,2574,无效用户
115,2582,无效用户
116,2588,无效用户
117,2597,无效用户
118,2608,无效用户
119,2609,无效用户
120,2623,无效用户
121,10001,无效用户
122,10013,无效用户
123,10116,无效用户
124,10121,无效用户
125,10136,无效用户
126,10158,无效用户
127,10165,无效用户
128,10171,无效用户
129,10191,无效用户
130,10192,无效用户
131,10201,无效用户
132,10205,无效用户
133,10220,无效用户
134,10271,无效用户
135,10272,无效用户
136,10310,无效用户
137,10332,无效用户
138,10356,无效用户
139,10406,无效用户
140,10432,无效用户
141,10451,无效用户
142,10461,无效用户
143,10475,无效用户
144,10486,无效用户
145,10491,无效用户
146,10513,无效用户
147,10537,无效用户
